Category,Discipline,Events
Aquatics,Artistic swimming,2
Aquatics,Diving,8
Aquatics,Marathon swimming,2
Aquatics,Swimming,35
Aquatics,Water polo,2
Archery,,5
Athletics,,48
Badminton,,5
Baseball/softball,Baseball,1
Baseball/softball,Softball,1
Basketball,Basketball,2
Basketball,3x3 basketball,2
Canoeing,Slalom,6
Canoeing,Sprint,10
Cricket,,2
Cycling,BMX freestyle,2
Cycling,BMX racing,2
Cycling,Mountain biking,2
Cycling,Road,4
Cycling,Track,12
Equestrian,Dressage,2
Equestrian,Eventing,2
Equestrian,Jumping,2
Fencing,,12
Field hockey,,2
Flag football,,2
Football,,2
Golf,,2
Gymnastics,Artistic,14
Gymnastics,Rhythmic,2
Gymnastics,Trampoline,2
Handball,,2
Judo,,15
Lacrosse,,2
Modern pentathlon,,2
Rowing,Rowing,12
Rowing,Coastal rowing,3
Rugby sevens,,2
Sailing,,10
Shooting,,15
Skateboarding,,4
Sport climbing,,4
Squash,,2
Surfing,,2
Table tennis,,5
Taekwondo,,8
Tennis,,5
Triathlon,,3
Volleyball,Volleyball (indoor),2
Volleyball,Beach volleyball,2
Weightlifting,,10
Wrestling,Freestyle,12
Wrestling,Greco-Roman,6
