,Year,Country Code,Rank,Gold,Silver,Bronze,Upper Gold,Upper Silver,Upper Bronze,Lower Gold,Lower Silver,Lower Bronze,Total
197,2028,USA,1.0,37.65414634773982,34.028718075569216,33.062297176711866,50.47086766669219,101.5755863179529,76.77026001366065,-102.25516726627562,-98.14069884633399,-84.35926289313471,104.74516160002091
38,2028,CHN,2.0,35.83553391574258,28.111737540054882,27.230921454772652,25.454562738660545,57.51499562720143,42.25829615820084,-87.01071748847926,-89.55323662791601,-76.39519310793303,91.17819291057012
96,2028,JPN,3.0,28.821338785735616,26.0533200861466,23.990826575465814,37.561372186112905,67.57823306674051,53.2756924936665,-72.62877511470734,-76.5148607550448,-62.9774785613103,78.86548544734804
11,2028,AUS,4.0,22.40413443966443,21.44757642777684,20.65889398740571,42.78699698432475,71.37418264557105,54.84662962546805,-58.95361571306891,-61.669651217988324,-52.49208568506322,64.51060485484697
64,2028,FRA,5.0,18.798343028760538,19.14094547037293,19.468790991398635,53.88029913002819,87.1114189741563,66.68304543004477,-50.94099451492262,-49.96094974197459,-43.905860010321305,57.4080794905321
72,2028,GER,6.0,17.399044438294805,17.003496831215156,16.92162355191302,48.5387605490115,75.08889227302338,58.32716479451522,-45.29020999182191,-47.60907107965105,-40.66458382723009,51.32416482142298
68,2028,GBR,7.0,15.972480410779779,17.013182205744382,17.749236513293834,32.58921173558795,61.89464564088263,46.4277197452812,-64.72715135733536,-65.36369987399938,-56.24330921889943,50.73489912981799
92,2028,ITA,8.0,15.41016097637115,15.759412989154335,16.77340039197476,42.296506645926634,66.533781822435,51.04240255270418,-47.05879587106872,-50.314069863480455,-43.22952213960571,47.94297435750025
135,2028,NED,9.0,15.616774894570455,14.288210107814361,14.419427015209113,28.67149351382704,47.09523929693923,37.248916785256995,-37.62518881843156,-39.59939086174216,-32.69562671833578,44.32441201759393
33,2028,CAN,10.0,13.921575406120064,14.174080808038342,14.812852217917486,39.83075372598467,60.65458176728036,47.51296543932853,-39.18169804405028,-42.66816445709268,-35.84701089338849,42.90850843207589
59,2028,ESP,11.0,10.901820863334642,11.873243449468479,12.589503626387936,38.728316594936466,57.82308561059793,45.991963981743716,-29.778288360011615,-31.761408983428606,-26.28409934432842,35.364567939191055
26,2028,BRA,12.0,8.860508932670157,10.148849176231934,10.778748145138254,30.308823628548296,47.26817817095748,36.53779708951082,-32.992929422662705,-35.51005259581211,-30.247026289045028,29.788106254040343
141,2028,NZL,13.0,11.112780428663596,9.338205001734803,9.166964102230727,18.776083162639328,29.98688062883931,22.89499274960993,-23.57028510163679,-25.3884806424201,-21.781411756360693,29.617949532629126
101,2028,KOR,14.0,10.19096968080846,9.061233338893082,9.42761108230481,22.206945244508507,34.775557139533845,26.532403522214544,-26.86539530310519,-29.39520171495827,-25.24005834931381,28.67981410200635
83,2028,HUN,15.0,6.957741181498406,6.513843899579522,7.3740187769834655,18.712725493478967,29.25618053128171,21.657077756526824,-23.400733311591715,-25.814610455071467,-22.773601846949454,20.845603858061395
151,2028,POL,16.0,5.061350336034236,5.863094646026562,7.0998190973386865,24.085903953042504,35.18041276913951,26.532607723047704,-23.388805228436027,-26.901160691084346,-23.55431585817359,18.024264079399487
7,2028,ARG,17.0,4.367901244942993,4.717982439695422,4.698839854903464,15.027849553391214,21.54751858989375,17.31853155864128,-8.78619308477297,-9.593551316920367,-7.805837907596866,13.78472353954188
