,Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Country Code,Is_Host,Ex-Host,Host Continent,Team Size,Participated Events,Total Events,Total Male Participants,Total Female Participants
0,1522,0.0,Afghanistan,0.0,0.0,0.0,0.0,1936,AFG,0,0,0,16.0,4,129.0,15.0,0.0
1,1540,0.0,Afghanistan,0.0,0.0,0.0,0.0,1948,AFG,0,0,0,25.0,2,136.0,22.0,0.0
2,1584,0.0,Afghanistan,0.0,0.0,0.0,0.0,1956,AFG,0,0,0,12.0,1,151.0,12.0,0.0
3,1653,0.0,Afghanistan,0.0,0.0,0.0,0.0,1960,AFG,0,0,0,16.0,13,150.0,12.0,0.0
4,1674,0.0,Afghanistan,0.0,0.0,0.0,0.0,1964,AFG,0,0,1,8.0,8,163.0,8.0,0.0
5,1740,0.0,Afghanistan,0.0,0.0,0.0,0.0,1968,AFG,0,0,0,5.0,5,172.0,5.0,0.0
6,1808,0.0,Afghanistan,0.0,0.0,0.0,0.0,1972,AFG,0,0,0,8.0,8,195.0,8.0,0.0
7,1919,0.0,Afghanistan,0.0,0.0,0.0,0.0,1980,AFG,0,0,0,11.0,11,203.0,11.0,0.0
8,2127,0.0,Afghanistan,0.0,0.0,0.0,0.0,1988,AFG,0,0,1,5.0,5,237.0,5.0,0.0
9,2356,0.0,Afghanistan,0.0,0.0,0.0,0.0,1996,AFG,0,0,0,2.0,2,271.0,2.0,0.0
10,2539,0.0,Afghanistan,0.0,0.0,0.0,0.0,2004,AFG,0,0,0,5.0,5,301.0,3.0,2.0
11,1070,82.0,Afghanistan,0.0,0.0,1.0,1.0,2008,AFG,0,0,1,4.0,4,302.0,3.0,1.0
12,1154,79.0,Afghanistan,0.0,0.0,1.0,1.0,2012,AFG,0,0,0,6.0,6,302.0,5.0,1.0
13,2909,0.0,Afghanistan,0.0,0.0,0.0,0.0,2016,AFG,0,0,0,3.0,3,306.0,2.0,1.0
14,3018,0.0,Afghanistan,0.0,0.0,0.0,0.0,2020,AFG,0,0,1,5.0,5,339.0,4.0,1.0
15,3120,0.0,Afghanistan,0.0,0.0,0.0,0.0,2024,AFG,0,0,0,7.0,6,329.0,3.0,3.0
