Year,NOC,Sport,Bronze,Silver,Gold,Total Medals,Participants,Male Participants,Female Participants,Weighted Total
1896,AUS,Athletics,3,0,5,8,1,1,0,36
1896,AUS,Tennis,1,0,0,1,1,1,0,2
1896,AUT,Aquatics,0,1,2,3,2,2,0,15
1896,AUT,Cycling,7,0,1,8,1,1,0,20
1896,AUT,Fencing,1,0,0,1,1,1,0,2
1896,DEN,Athletics,4,3,2,9,3,3,0,29
1896,DEN,Fencing,1,1,0,2,1,1,0,5
1896,DEN,Gymnastics,0,1,1,2,1,1,0,9
1896,DEN,Shooting,7,6,2,15,3,3,0,44
1896,DEN,Weightlifting,0,2,1,3,1,1,0,12
1896,FRA,Athletics,2,1,0,3,5,5,0,7
1896,FRA,Cycling,4,2,7,13,2,2,0,56
1896,FRA,Fencing,0,2,1,3,4,4,0,12
1896,FRA,Gymnastics,0,0,0,0,1,1,0,0
1896,FRA,Shooting,1,0,0,1,1,1,0,2
1896,FRA,Tennis,0,0,0,0,1,1,0,0
1896,GBR,Athletics,2,1,0,3,5,5,0,7
1896,GBR,Cycling,3,1,0,4,2,2,0,9
1896,GBR,Gymnastics,0,1,1,2,1,1,0,9
1896,GBR,Shooting,0,0,0,0,2,2,0,0
1896,GBR,Tennis,1,0,3,4,2,2,0,20
1896,GBR,Weightlifting,0,1,2,3,1,1,0,15
1896,GBR,Wrestling,0,1,1,2,1,1,0,9
1896,GER,Athletics,3,5,14,22,5,5,0,105
1896,GER,Cycling,0,1,0,1,5,5,0,3
1896,GER,Gymnastics,8,8,90,106,11,11,0,580
1896,GER,Tennis,0,0,1,1,1,1,0,6
1896,GER,Weightlifting,0,0,2,2,1,1,0,12
1896,GER,Wrestling,0,0,3,3,1,1,0,18
1896,GRE,Aquatics,3,3,1,7,9,9,0,21
1896,GRE,Athletics,9,3,1,13,30,30,0,33
1896,GRE,Cycling,0,4,3,7,9,9,0,30
1896,GRE,Fencing,2,1,2,5,9,9,0,19
1896,GRE,Gymnastics,3,1,2,6,9,9,0,21
1896,GRE,Shooting,6,5,5,16,27,27,0,57
1896,GRE,Tennis,2,4,0,6,7,7,0,16
1896,GRE,Weightlifting,2,0,0,2,3,3,0,4
1896,GRE,Wrestling,1,1,0,2,2,2,0,5
1896,HUN,Aquatics,0,0,3,3,1,1,0,18
1896,HUN,Athletics,4,1,0,5,3,3,0,11
1896,HUN,Gymnastics,0,0,0,0,2,2,0,0
1896,HUN,Tennis,1,0,0,1,1,1,0,2
1896,HUN,Weightlifting,1,0,0,1,1,1,0,2
1896,HUN,Wrestling,1,0,0,1,1,1,0,2
1896,ITA,Shooting,0,0,0,0,1,1,0,0
1896,SUI,Gymnastics,0,7,1,8,2,2,0,27
1896,SUI,Shooting,0,0,0,0,1,1,0,0
1896,SWE,Athletics,0,0,0,0,1,1,0,0
1896,SWE,Gymnastics,0,0,0,0,1,1,0,0
1896,USA,Aquatics,0,0,0,0,1,1,0,0
1896,USA,Athletics,6,14,14,34,10,10,0,138
1896,USA,Shooting,0,1,3,4,3,3,0,21
1900,ARG,Fencing,0,0,0,0,1,1,0,0
1900,AUS,Aquatics,0,0,3,3,1,1,0,18
1900,AUS,Athletics,9,0,1,10,1,1,0,24
1900,AUT,Aquatics,3,5,0,8,4,4,0,21
1900,AUT,Athletics,0,0,0,0,2,2,0,0
1900,AUT,Equestrian,0,0,0,0,2,2,0,0
1900,AUT,Fencing,2,0,0,2,8,8,0,4
1900,BEL,Aquatics,0,11,0,11,12,12,0,33
